Date,Degree,Minute,Arcsec,Decimal
30th Sept,85,32,29.4,85.5415
1st Oct,85,45,3,85.7508
2nd Oct,85,58,56,85.9822
3rd Oct,86,12,6.1,86.2017
4th Oct,86,26,36.9,86.4436
5th Oct,86,40,24.7,86.6735
6th Oct,86,55,34.3,86.9262
7th Oct,87,10,0.9,87.1669
8th Oct,87,25,50.6,87.4307
9th Oct,87,40,57.1,87.6825
10th Oct,87,57,28.2,87.9578
11th Oct,88,13,16.1,88.2211
12th Oct,88,30,30.2,88.5084
13th Oct,88,47,1,88.7836
14th Oct,89,5,0.1,89.0834
15th Oct,89,22,15.8,89.3711
16th Oct,89,41,2.1,89.6839
17th Oct,89,59,4.8,89.9847
18th Oct,90,18,41.2,90.3114
19th Oct,90,37,33.6,90.626
20th Oct,90,57,34.4,90.9596
21st Oct,91,17,48,91.2967
22nd Oct,91,39,13.7,91.6538
23rd Oct,91,59,55,91.9986
24th Oct,92,10,21.1,92.1725
25th Oct,92,44,3,92.7342
26th Oct,93,7,34.4,93.1262
27th Oct,93,30,21.4,93.5059
28th Oct,93,55,3.7,93.9177
29th Oct,94,19,1.9,94.3172
30th Oct,94,45,1.9,94.7505
31st Oct,95,10,17.9,95.1716
1st Nov,95,37,7.9,95.6189
2nd Nov,96,4,25.5,96.0737
3rd Nov,96,33,26.1,96.5572
4th Nov,97,1,43.6,97.0288
5th Nov,97,32,30.5,97.5418
6th Nov,98,2,35.3,98.0431
7th Nov,98,35,22,98.5894
8th Nov,99,7,28.5,99.1246
9th Nov,99,42,31.7,99.7088
10th Nov,100,16,57.3,100.2826
11th Nov,100,54,37.7,100.9105
12th Nov,101,31,44.1,101.5289
13th Nov,102,12,27.7,102.2077
14th Nov,102,52,42.1,102.8784
15th Nov,103,37,1.4,103.6171
16th Nov,104,20,58.4,104.3496
17th Nov,105,9,52.3,105.1645
18th Nov,105,59,42.5,105.9951
19th Nov,106,53,14.9,106.8875
20th Nov,107,47,6.9,107.7853
21st Nov,108,47,16,108.7878
22nd Nov,109,47,48.1,109.7967
23rd Nov,110,54,28.5,110.9079
24th Nov,112,4,45.4,112.0793
25th Nov,113,22,44.9,113.3791
26th Nov,114,42,20.9,114.7058
27th Nov,116,13,9.1,116.2192
28th Nov,117,46,37.8,117.7772
29th Nov,119,34,13.3,119.5704
30th Nov,121,26,3.7,121.4344
1st Dec,123,36,3,123.6008
2nd Dec,125,52,37.1,125.877
3rd Dec,128,32,57.2,128.5492
4th Dec,131,23,15.5,131.3876
5th Dec,134,45,4.2,134.7512
6th Dec,138,21,28.4,138.3579
7th Dec,142,39,25.9,142.6572
8th Dec,147,17,13.6,147.2871
9th Dec,152,47,27.1,152.7909
10th Dec,158,40,15,158.6708
11th Dec,165,31,16.9,165.5214
12th Dec,172,37,36.2,172.6267
13th Dec,180,32,10.6,180.5363
14th Dec,188,18,9.8,188.3027
15th Dec,196,23,37.4,196.3937
16th Dec,203,50,7,203.8353
17th Dec,211,6,21.4,211.1059
18th Dec,217,27,40.9,217.4614
19th Dec,223,25,5.9,223.4183
20th Dec,228,29,51.5,228.4976
21st Dec,233,10,39.2,233.1776
22nd Dec,237,9,4.8,237.1513
23rd Dec,240,48,23.9,240.8066
24th Dec,243,55,57.4,243.9326
25th Dec,246,49,28.7,246.8246
26th Dec,249,19,39.2,249.3276
27th Dec,251,39,44.4,251.6623
28th Dec,253,42,36.3,253.7101
29th Dec,255,38,12.7,255.6369
30th Dec,257,20,56.3,257.349
31st Dec,258,58,22.7,258.973
